,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Bathsheba,40,BB,1563616235,78,13.22,-59.52,80.6,17.22
375,Brus Laguna,100,HN,1563616236,82,15.75,-84.48,82.6,16.75
376,Juneau,90,US,1563616218,100,58.3,-134.42,55.4,6.93
377,Prieska,0,ZA,1563616236,48,-29.67,22.74,45.88,15.12
378,Faanui,21,PF,1563616236,78,-16.48,-151.75,76.84,16.71
379,Farad,0,YE,1563616237,38,14.05,44.12,83.86,10.58
380,Uberlandia,0,BR,1563616236,71,-18.92,-48.28,55.4,11.41
381,Akdepe,0,TM,1563616237,10,42.05,59.39,114.8,11.41
382,Rawa Mazowiecka,40,PL,1563616237,44,51.76,20.25,81.0,5.82
383,Thaba-Tseka,6,LS,1563616238,32,-29.52,28.61,38.86,12.55
384,Cartagena,0,ES,1563616238,58,37.63,-1.0,87.01,18.34
385,Fushun,100,CN,1563616238,62,41.89,123.95,89.6,6.71
386,Vilyuysk,0,RU,1563616239,35,63.75,121.63,68.56,7.83
387,Westport,1,US,1563616239,88,41.14,-73.36,80.01,3.36
388,Fairview,75,CA,1563616239,93,56.07,-118.38,57.2,5.82
389,Iwade,75,JP,1563616240,83,34.26,135.31,86.0,9.17
390,Kamenka,0,MD,1563616240,42,48.03,28.7,80.01,1.01
391,Berdigestyakh,0,RU,1563616240,37,62.1,126.7,63.16,5.99
392,Troitsko-Pechorsk,73,RU,1563616240,60,62.71,56.19,66.22,2.73
393,Ossora,100,RU,1563616241,94,59.24,163.07,59.02,4.74
394,Vuktyl,78,RU,1563616241,47,63.86,57.31,72.88,7.43
395,Nouakchott,0,MR,1563616000,74,18.08,-15.98,78.8,9.17
396,Yuryev-Polskiy,100,RU,1563615966,80,56.5,39.68,62.44,10.33
397,San Carlos de Bariloche,90,AR,1563616242,98,-41.13,-71.31,32.0,3.36
398,Hobyo,22,SO,1563616242,39,5.35,48.53,90.7,23.31
399,Kandi,85,BJ,1563616243,77,11.13,2.93,79.54,3.49
400,Fayaoue,54,NC,1563616243,73,-20.65,166.53,70.54,23.55
401,Tamworth,0,AU,1563616243,57,-31.09,150.93,46.99,3.36
402,San Lorenzo,1,HN,1563616244,71,13.43,-87.45,74.86,3.18
403,Bontang,3,ID,1563616244,57,0.12,117.47,88.0,5.75
404,Wasilla,90,US,1563616244,68,61.58,-149.44,66.2,3.36
405,Lompoc,90,US,1563616245,82,34.64,-120.46,60.8,6.76
406,Salalah,75,OM,1563616245,79,17.01,54.1,84.2,10.29
407,Torbay,75,CA,1563616245,87,47.66,-52.73,57.0,5.82
408,Ketchikan,75,US,1563616245,87,55.34,-131.65,57.2,5.23
409,Waipawa,72,NZ,1563616246,85,-39.94,176.59,48.0,5.99
410,Port Augusta,0,AU,1563616246,30,-32.49,137.76,66.2,18.34
411,Provins,0,FR,1563616246,44,48.56,3.3,84.2,17.22
412,Rakaia,100,NZ,1563616247,93,-43.76,172.02,48.99,17.22
413,Fukue,75,JP,1563616247,83,35.03,136.69,84.0,4.7
414,Paredon,24,BO,1563616247,74,-18.93,-65.16,42.64,1.57
415,Santa Isabel,1,MX,1563616248,11,32.63,-115.58,89.6,21.92
416,Ferkessedougou,92,CI,1563616248,83,9.6,-5.2,76.48,7.4
417,Gezing,40,AT,1563616248,47,47.92,13.13,84.0,2.24
418,Grasse,0,FR,1563616248,69,43.66,6.92,84.2,9.17
419,Tezpur,8,IN,1563616249,62,26.62,92.79,93.76,12.35
420,Gizo,20,IL,1563616249,51,31.8,34.94,89.01,11.41
421,Goderich,90,CA,1563616249,81,43.74,-81.71,78.01,4.0
422,Sept-Iles,20,CA,1563616165,100,50.2,-66.38,55.0,2.91
423,Shenjiamen,58,CN,1563616218,85,29.96,122.3,80.44,1.86
424,Udachnyy,0,RU,1563616250,28,66.42,112.4,68.0,2.24
425,Mareeba,6,AU,1563616250,72,-16.99,145.42,66.2,5.82
426,Vardo,1,US,1563616250,83,39.62,-77.74,80.6,4.7
427,Dindori,92,IN,1563616251,50,22.94,81.08,90.34,7.27
428,Lodja,54,CD,1563616251,21,-3.52,23.6,91.6,4.61
429,Moose Factory,90,CA,1563616251,87,51.26,-80.61,60.8,14.99
430,Kapitanivka,0,UA,1563616252,49,48.91,31.71,77.2,7.61
431,Onega,100,RU,1563616252,74,63.91,38.09,60.64,8.19
432,Fuerte Olimpo,0,BR,1563616252,73,-21.04,-57.87,66.04,4.97
433,Kapit,47,MY,1563616252,84,2.02,112.94,83.5,2.93
434,Thomasville,1,US,1563615971,100,35.88,-80.08,77.0,4.09
435,Los Llanos de Aridane,75,ES,1563616253,60,28.66,-17.92,75.2,17.22
436,Teguise,90,ES,1563616253,73,29.06,-13.56,73.4,13.87
437,Chichawatni,1,PK,1563616253,24,30.53,72.69,106.36,6.08
438,Togur,14,RU,1563616254,40,58.36,82.83,79.9,7.81
439,Paka,61,CF,1563616254,92,4.15,15.03,74.68,2.73
440,Cabra,0,ES,1563616254,35,37.47,-4.43,87.01,2.24
441,Giyon,0,ET,1563616255,66,8.53,37.98,74.5,2.35
442,Tayu,75,JP,1563616255,83,35.06,136.67,84.0,4.7
443,Pozo Colorado,20,PY,1563616255,96,-23.49,-58.8,60.46,5.14
444,Pangpang,100,PH,1563616255,82,15.94,120.31,82.42,11.05
445,Wanning,0,AT,1563616256,47,48.64,13.53,82.99,4.7
446,Severobaykalsk,100,RU,1563616256,74,55.65,109.32,62.44,7.25
447,Sinnamary,16,GF,1563616256,82,5.38,-52.96,77.74,9.4
448,Chiang Khong,20,LA,1563616257,59,20.27,100.41,95.0,3.36
449,Timra,0,SE,1563616257,72,62.49,17.33,72.0,4.7
450,Vila,0,IT,1563616257,54,45.18,8.4,84.99,3.36
451,Mumford,95,GH,1563616257,88,5.26,-0.76,76.66,4.25
452,Bonavista,88,CA,1563616258,84,48.65,-53.11,54.0,7.0
453,Araouane,7,ML,1563616258,31,18.9,-3.53,96.46,18.97
454,Tuatapere,97,NZ,1563616258,97,-46.13,167.69,48.0,4.0
455,Venado Tuerto,25,AR,1563616179,99,-33.75,-61.97,51.01,4.0
456,Puerto del Rosario,75,ES,1563615991,69,28.5,-13.86,73.4,14.99
457,Coria,0,ES,1563616259,31,39.98,-6.54,88.0,1.01
458,Komsomolskiy,100,RU,1563616260,69,67.55,63.78,62.98,10.11
459,Kununurra,0,AU,1563616260,28,-15.77,128.74,86.0,4.7
460,Aleksandro-Nevskiy,62,RU,1563616260,57,53.48,40.21,71.62,17.31
461,Fairmont,1,US,1563616261,69,40.64,-97.59,80.01,8.05
462,Baikunthpur,32,IN,1563616261,52,23.26,82.56,90.34,4.85
463,Calabozo,100,VE,1563616206,96,8.92,-67.43,71.44,4.0
464,Sabha,0,LY,1563616262,17,27.03,14.43,93.22,12.68
465,Rio Grande,16,BR,1563616262,96,-32.03,-52.1,52.0,4.5
466,Syasstroy,70,RU,1563616262,90,60.14,32.56,57.58,13.94
467,Viedma,100,AR,1563616263,53,-40.81,-62.99,42.28,8.37
468,Ekhabi,100,RU,1563616263,97,53.51,142.97,59.38,9.89
469,Mahbubabad,100,IN,1563616263,58,17.62,80.02,90.52,4.43
470,Hakodate,20,JP,1563616264,78,41.8,140.75,71.6,9.17
471,Winslow,40,GB,1563616264,77,51.94,-0.88,71.01,13.87
472,Buala,100,SB,1563616264,80,-8.15,159.59,79.9,6.13
473,Fuengirola,0,ES,1563616265,54,36.54,-4.62,88.0,6.93
474,Probolinggo,84,ID,1563616265,83,-7.74,113.22,68.56,2.86
475,Gravelbourg,57,CA,1563616265,79,49.88,-106.56,51.64,8.99
476,Yulara,40,AU,1563616266,13,-25.24,130.99,77.0,9.17
477,North Bend,1,US,1563616266,93,43.41,-124.22,57.99,3.36
478,Rio Cuarto,0,AR,1563616229,80,-33.13,-64.35,41.0,5.82
479,Malatya,0,TR,1563616266,31,38.35,38.32,87.8,4.7
480,Rawson,7,AR,1563616267,55,-43.3,-65.11,37.96,10.74
481,Edendale,34,ZA,1563616267,47,-29.65,30.31,61.0,1.01
482,Venice,1,US,1563616267,94,27.1,-82.45,75.2,5.82
483,Bangangte,97,CM,1563616268,84,5.14,10.52,72.88,2.37
484,La Rioja,0,AR,1563616268,73,-29.41,-66.86,42.28,1.05
485,Enid,1,US,1563616268,73,36.4,-97.88,80.6,8.05
486,Siverek,0,TR,1563616269,24,37.75,39.32,93.2,6.93
487,Jiwani,0,PK,1563616269,76,25.05,61.74,82.78,12.26
488,Bondoukou,97,CI,1563616269,91,8.04,-2.8,74.5,5.77
489,Nicholasville,1,US,1563616269,94,37.88,-84.57,75.99,4.0
490,Am Timan,86,TD,1563616270,67,11.04,20.28,82.06,7.74
491,Lorengau,11,PG,1563616270,83,-2.02,147.27,80.44,9.48
492,Hjelset,20,NO,1563616270,82,62.78,7.5,66.2,4.7
493,Grootfontein,0,NA,1563616270,14,-19.56,18.1,68.0,4.7
494,Copiapo,0,CL,1563616271,87,-27.37,-70.33,51.8,11.41
495,Starogard Gdanski,0,PL,1563616271,56,53.96,18.53,79.0,9.17
496,Sharya,37,RU,1563616271,49,58.37,45.52,72.88,4.85
497,Quatre Cocos,75,MU,1563616083,65,-20.21,57.76,77.0,18.34
498,Palmer,0,AU,1563616272,39,-34.85,139.16,63.0,18.34
499,Dudinka,0,RU,1563616272,31,69.41,86.18,77.0,15.66
500,Santa Luzia,75,BR,1563616272,76,-19.77,-43.85,55.4,6.93
501,Praia da Vitoria,20,PT,1563616273,78,38.73,-27.07,73.99,12.5
502,Reynosa,75,MX,1563616273,88,26.07,-98.3,81.0,14.18
503,Vanavara,79,RU,1563616273,33,60.35,102.28,69.46,16.93
504,Teknaf,94,BD,1563616274,76,20.86,92.31,85.48,9.13
505,Georgiyevka,0,RU,1563616274,51,52.25,40.45,74.32,12.33
506,Khuzhir,100,RU,1563616274,35,53.19,107.35,75.22,6.76
507,Okhotsk,0,RU,1563616274,45,59.36,143.24,67.48,11.54
508,Laguna,75,BZ,1563616275,100,16.17,-88.94,75.2,4.7
509,Luba,100,PH,1563616275,80,17.32,120.7,82.96,4.07
510,Ukiah,1,US,1563616236,77,39.15,-123.21,64.0,6.93
511,Husavik,0,CA,1563616276,77,50.56,-96.99,60.01,5.01
512,Shelopugino,100,RU,1563616276,97,51.65,117.56,57.94,5.44
513,Tadine,100,NC,1563616276,67,-21.55,167.88,69.28,20.71
514,Bonnyville,40,CA,1563616276,93,54.27,-110.74,57.2,3.36
515,Port-Gentil,75,GA,1563616277,83,-0.72,8.78,80.6,6.93
516,Santa Fe,92,AR,1563616277,93,-31.62,-60.7,62.01,3.0
517,Remanso,0,BR,1563616277,74,-9.62,-42.08,66.04,10.22
518,Vila Velha,75,BR,1563616277,74,-3.71,-38.6,78.8,6.93
519,Carutapera,32,BR,1563616278,97,-1.2,-46.02,70.72,4.14
520,Tamiahua,33,MX,1563616278,87,21.28,-97.45,77.2,5.41
521,Candelaria,100,PH,1563616278,77,13.93,121.42,87.01,3.0
522,Kabo,100,CF,1563616279,95,7.69,18.62,72.34,2.19
523,Belyy Yar,40,RU,1563616279,68,53.6,91.39,69.8,8.95
524,Yining,38,CN,1563616279,62,29.04,114.56,90.52,1.88
525,Riyadh,0,SA,1563616165,12,24.63,46.72,102.2,14.99
526,Vargem Grande,75,BR,1563616280,100,-23.71,-46.2,57.2,8.05
527,Bahraich,13,IN,1563616280,32,27.58,81.6,103.12,1.01
528,Champerico,43,MX,1563616280,95,16.38,-93.6,65.86,5.59
529,Mizdah,0,LY,1563616281,36,31.45,12.98,81.16,6.29
530,Palaikastron,0,GR,1563616281,75,35.2,26.25,76.84,19.04
531,Coihaique,90,CL,1563616281,98,-45.58,-72.07,33.8,5.82
532,Vidisha,75,IN,1563616282,74,23.52,77.8,87.8,11.41
533,Pangkalanbuun,51,ID,1563616282,89,-2.68,111.62,82.78,3.22
534,Arzgir,1,RU,1563616282,43,45.37,44.21,84.04,4.05
535,Nome,1,US,1563616283,100,30.04,-94.42,84.0,5.14
536,Kemin,100,KG,1563616283,13,42.79,75.7,86.74,11.95
537,Beloha,0,MG,1563616283,22,-25.17,45.06,79.36,13.58
538,Wahiawa,90,US,1563616283,100,21.5,-158.02,80.6,10.29
539,Yessentuki,75,RU,1563616284,57,44.05,42.86,78.8,2.24
540,Aguimes,75,ES,1563616284,73,27.91,-15.45,75.99,23.04
541,Amsterdam,20,NL,1563616130,88,52.37,4.89,64.99,10.29
542,Bandarbeyla,97,SO,1563616285,31,9.49,50.81,94.12,32.08
543,Yuni,75,JP,1563616285,88,42.94,141.86,73.4,10.29
544,Turukhansk,96,RU,1563616285,33,65.8,87.96,76.12,11.07
545,Bronnoysund,75,NO,1563616285,87,65.46,12.2,63.0,6.93
546,Pangnirtung,100,CA,1563616286,76,66.15,-65.72,53.44,1.81
547,Makakilo City,90,US,1563616286,100,21.35,-158.09,80.6,10.29
548,Coquimbo,0,CL,1563616286,93,-29.95,-71.34,44.6,5.82
549,Kanker,79,IN,1563616287,51,20.27,81.49,92.14,3.4
